PurchaseSell,Date,Purchase Price,VIN,Model,Year,Vehicle Description,Manufacturer,Condition,Type,Odometer,Colors,Username,Customer Email,Customer Phone,Customer Street Address,Customer City,Customer State,Customer ZIP,Persons Driver License,Persons First Name,Persons Last Name,Tax Number,Business Name,Contact First Name,Contact Last Name,Contact Title,customerID
Purchase,4/12/2019,1885.81,4G40BAXEV4V936460,XTS,2013,overdrive; ,Cadillac,Very Good,SUV,102825,Black,user24,lhaufler@zathunicon.com,9953808583,2797 5-street,El Paso,TX,45787,,,,94-0706896,Mathtouch,Valentine,Kulzer,Senior Manager M1,284
Purchase,1/14/2019,2979.61,58SXUC0BZIA446980,CRF70F,2008,crankcase; hydraulic brakes; ,Honda,Fair,Truck,161228,Orange,user02,nsemidey@blackzim.com,5466289697,5274 2-street,New York,NY,5501,D5653451679,Van,Comnick,,,,,,240
Purchase,3/5/2019,3180.75,5I71MA5PSO0445780,GT,2008,manual transmission; ,Romeo,Very Good,Truck,22908,Blue,user04,lhalter@openlane.com,3539684893,350 5-street,Colorado Springs,NE,8954,B1467621707,Arlette,Arias,,,,,,76
Purchase,4/4/2019,2825.98,5U2302GFYRL619555,ELANTRA,2010,,Hyundai,Excellent,Truck,165004,Silver,user04,donofrio@warephase.com,6222810837,2749 6-street,Charlotte,NC,98482,C8989750395,Derick,Dilliard,,,,,,204
Purchase,4/25/2019,1995.1,66BVP1UV1VM384215,LS600H,2010,no understeer; detail; ,Lexus,Very Good,Truck,47550,Gold,user07,dgalam@lexiqvolax.com,9796761201,2852 9-street,Reno,VA,59227,A6434991693,Truman,Strassner,,,,,,41
Purchase,2/22/2019,3832.9,6D300ABH65P725391,LIBERTY,2003,high volume cylinder; pickup; ,Jeep,Very Good,Sedan,125635,Purple,user10,hmontezuma@donware.com,6744378134,648 12-street,North Las Vegas,CA,54125,A4363352704,Adell,Leinenbach,,,,,,33
Purchase,3/20/2019,19398.24,6GHR6AAGP36983674,3 SPORT,2013,high quality carburetor; ,MAZDA,Excellent,Van,4232,Claret,user14,dperin@doncon.com,1680591543,8884 9-street,Sacramento,CA,56712,D1162502438,Lili,Farrar,,,,,,216
Purchase,1/19/2019,4428.77,6HKQMAEQ5PA690783,PATRIOT,2011,supernew catalytic converter; ,Jeep,Good,Sedan,29506,Claret;Pink;Purple,user22,hauffrey@domzoom.com,5571476773,7876 13-street,Anchorage,CA,60946,C6972781026,Ma,Yum,,,,,,186
Purchase,5/8/2019,2415,6KSCMBLK5DZ055754,IMPREZA,2002,best radiator; ,Subaru,Fair,Convertible,27610,Green,user04,ndilliard@hottechi.com,5753398951,9510 18-street,Long Beach,MO,9794,B3621247910,Edna,Wolny,,,,,,90
Purchase,6/20/2019,13299.72,6PSJQWZYS2J443879,XK,2015,detail; ,Jaguar,Fair,Minivan,6828,Aluminum,user24,rskulski@sonron.com,4584955666,3367 4-street,Madison,TX,13950,B5930662838,Latrice,Claucherty,,,,,,111
Purchase,5/27/2019,6614.27,73MVKB63GMJ964569,GALANT,2004,best sedan; ,Mitsubishi,Fair,SUV,6381,Claret,user12,lehmann@dontechi.com,3963753798,7687 5-street,Atlanta,CO,18500,,,,53-2746024,Warephase,Hoa,Varriano,Associate Director M1,300
Purchase,6/28/2019,1504.37,7A13XEM0IMF171736,LOBO,2013,innovative air bags; front axle assembly; ,Ford,Excellent,Van,66160,Rust,user10,oostrosky@faxquote.com,1020207641,1895 11-street,Fort Worth,TX,54411,D7757448068,Merilyn,Maile,,,,,,247
Purchase,6/9/2019,4065.16,7F3L3GAY4BB268957,CANYON,2005,good gear; all passive safety features; high quality carburetor; ,GMC,Fair,Sedan,119148,Tan,user24,kkippley@stanredtax.com,4902392607,1228 6-street,Hialeah,NV,21726,C9808620269,Martina,Lietz,,,,,,210
Purchase,2/11/2019,2789.29,7FT34LPXEKD855738,MT55,2009,,Freightliner,Very Good,Coupe,96640,Rose,user04,ljurney@konmatfix.com,6596733592,6627 16-street,Charlotte,NC,38430,A6482150674,Daniela,Mai,,,,,,45
Purchase,6/13/2019,5207.53,7T0CI3XEYJA004139,COMPASS,2019,super new ignition system; ,Jeep,Excellent,Coupe,21140,Metallic,user10,,1326205709,8257 14-street,Norfolk,NC,96993,,,,60-8943972,Iselectrics,Golda,Raymo,Senior Director L2,305
Purchase,3/14/2019,2908.42,7W7UDF3KP41966929,ESCALADE EXT,2003,great rpms; station wagon (Also known as wagon.); ,Cadillac,Excellent,SUV,54990,Blue,user05,yfelger@groovestreet.com,706470748,2680 7-street,Baltimore,OK,83300,B9167611164,Mitsue,Diestel,,,,,,140
Purchase,1/13/2019,8941.69,7Y1EAHONCCS732936,CALIBER,2012,best suspension; ,Dodge,Very Good,Minivan,8247,Metallic,user14,lbevelacqua@konmatfix.com,5588339447,7730 4-street,Tampa,HI,19012,,,,88-2511678,Inity,Olive,Lueckenbach,Director R4,263
Purchase,4/29/2019,3310.51,7YCPTKZS5B3163969,TRX500FE FOURTRAX FOREMAN 4X4 ES,2008,,Honda,Very Good,Convertible,38273,Silver,user05,tbachman@konex.com,7577634102,237 5-street,St. Louis,CA,43201,C4429219457,Rhea,Pontoriero,,,,,,174
Purchase,4/3/2019,5637.62,8BPZY476GS8852305,MKS,2015,,Lincoln,Fair,Convertible,21882,Brown,user02,nperez@blackzim.com,8502719603,2904 21-street,Memphis,TN,41308,D5555586904,Annmarie,Royster,,,,,,239
Purchase,4/11/2019,5786.99,8C76DYYDYJU989849,SRX,2008,can be used as sports car; ,Cadillac,Fair,Sedan,8910,Red,user22,ckolmetz@warephase.com,4265505072,8251 15-street,Arlington,LA,83488,,,,53-5128822,Iselectrics,Emerson,Mirafuentes,Associate Fellow M2,283
Purchase,5/20/2019,2713.27,8CPKHCHU2W7031895,FORTWO,2005,no redline; ,smart,Very Good,Truck,139625,Beige,user24,yfelger@groovestreet.com,706470748,2680 7-street,Baltimore,OK,83300,B9167611164,Mitsue,Diestel,,,,,,145
Purchase,3/23/2019,4526.77,8FX05ZAH64B316440,AZERA,2009,wide transaxle; ,Hyundai,Fair,SUV,79100,Copper,user07,ibrucato@stanredtax.com,4968436811,5872 2-street,Santa Ana,MO,63822,,,,35-0728111,Fasehatice,Chantell,Kulzer,Director R7,279
Purchase,1/8/2019,1893.28,8HJHTFE0FGU264640,MT45,2006,innovative air bags; ,Freightliner,Very Good,Minivan,28290,Turquoise,user24,cacey@nam-zim.com,1353591607,3638 10-street,Houston,TX,87596,C9736973233,Joesph,Haufler,,,,,,206
Purchase,4/13/2019,1289.43,A1NW00GFYRY803793,G35,2003,great rpms; ,INFINITI,Fair,Convertible,93475,Rust,user04,jdemesa@scottech.com,8898240201,9597 6-street,Garland,FL,23856,C3686964342,Josphine,Degroot,,,,,,167
Purchase,5/13/2019,5974.61,A2YAQD6KDWM503404,FORTWO,2011,detail; ,smart,Very Good,SUV,6490,Metallic,user24,xscheyer@warephase.com,6799503633,4826 21-street,Baltimore,OK,48572,,,,39-7861291,Plexzap,Carey,Mconnell,Associate Director L4,294
Purchase,2/1/2019,4696.5,ABCX0O07N6F519334,575 M MARANELLO,2005,original equipment manufacturer (OEM) parts; modern dashboard; high torque; ,Ferrari,Excellent,Sedan,107835,Black,user07,tbartolet@xx-holding.com,2122687338,8458 18-street,Nashville-Davidson,MD,64729,,,,75-7314641,Openlane,France,Gleich,Manager R3,266
Purchase,2/26/2019,2514.25,AFTWPBMU2TA534019,ESPRIT,2004,air filtration system; ,Lotus,Fair,Coupe,67542,Navy,user06,xgochal@donquadtech.com,4752675684,8284 1-street,Tucson,CA,49195,C4179179446,Alyce,Hauenstein,,,,,,171
Purchase,1/13/2019,1186.75,AI51SMWRVBH997689,MERIVA,2008,ultra new transmission; ,Chevrolet,Very Good,Van,102980,Copper,user10,abitsuie@xx-zobam.com,720363016,7156 12-street,Plano,NV,90870,B2116633076,Wilda,Fritz,,,,,,81
Purchase,1/17/2019,5103.38,AKHFEO0D1D4893889,FE-SP,2004,wide cam; ,Mitsubishi,Fair,Truck,3544,Silver,user03,gcomnick@conecom.com,4869498938,7817 19-street,Memphis,TN,6064,,,,43-0143820,Plussunin,Tresa,Liukko,Associate Fellow R3,264
Purchase,6/25/2019,3777.03,AN86IKI83LD618280,TT,2001,innovative air bags; automatic valves; ,Audi,Fair,Convertible,23400,Brown;Red,user12,fschemmer@toughzap.com,1295867444,8540 3-street,Anaheim,CA,89578,,,,80-2924796,J-Texon,Twana,Rulapaugh,Researcher R5,309
Purchase,5/21/2019,14937.51,ASBUY3C1GYP443816,3 SPORT,2010,manual transmission; ,MAZDA,Fair,Coupe,5513,White,user10,alorens@zencorporation.com,7702201434,564 7-street,Phoenix,AZ,30761,,,,41-5753983,Xx-zobam,Vilma,Bartolet,Senior Director R9,299
Purchase,4/12/2019,3413.61,ATWA3W65LU2848535,PRIUS V,2015,hatchback; air filtration system; ,Toyota,Good,Minivan,12702,Bronze,user05,bsaylors@codehow.com,1587263688,6008 14-street,Honolulu,CO,96626,A8107181602,Norah,Gleich,,,,,,55
Purchase,3/29/2019,2713.27,AZCPHC4R1RY522608,FORTWO,2007,,smart,Fair,SUV,130284,Metallic,user05,lrantanen@plusstrip.com,2702089410,5202 20-street,Fort Worth,TX,91740,B0664933596,Weldon,Gehrett,,,,,,71
Purchase,4/6/2019,4745.57,B2JQXKMCCJ3730138,CADDY,2018,automatic torque converter; ,Volkswagen,Fair,Van,77568,Navy,user03,lrhoden@golddex.com,247749496,8102 19-street,Los Angeles,CA,14989,A8352857373,Felicidad,Discipio,,,,,,60
Purchase,4/5/2019,5515.15,B3V53WEVPX7253102,ENCLAVE,2012,best sedan; ,Buick,Fair,Convertible,30759,Aluminum;Claret;Orange,user24,svinning@domzoom.com,1455563822,712 19-street,Houston,TX,4775,C0188223064,Mitsue,Tomasulo,,,,,,148
Purchase,5/2/2019,1314.54,BHVL8OFSZ0G423785,VT1100C SHADOW SPIRIT,2005,manual transmission; ,Honda,Fair,Convertible,30246,Copper,user05,nsemidey@blackzim.com,5466289697,5274 2-street,New York,NY,5501,D5653451679,Van,Comnick,,,,,,241
Purchase,1/5/2019,1943.06,BMMT70O7FLR864961,GALLARDO,2013,sturdy side impact beams; ,Lamborghini,Excellent,Sedan,41550,Gray,user04,arentfro@domzoom.com,618710071,6729 13-street,Henderson,NE,7428,,,,17-8311836,Warephase,Raymon,Wenner,Researcher M4,261
Purchase,1/18/2019,1580.99,BNWE37HKK6A465562,GIULIETTA,2019,coupe; ,Romeo,Fair,Van,58848,Bronze;Navy;Purple,user02,tfunnell@zoomit.com,5201367484,3334 8-street,Austin,TX,72284,C9903567737,Linn,Hollack,,,,,,213
Purchase,4/18/2019,2280.75,BX1OSN5TZYU191007,SONATA,2010,manual transmission; ,Hyundai,Excellent,Sedan,23424,Beige,user10,estockham@y-corporation.com,6460745453,6657 14-street,Dallas,TX,44760,,,,97-4309225,Bioplex,Janine,Baltimore,Senior Manager L2,286
Purchase,5/28/2019,3860.53,C0VHQRA5CIO857811,ARNAGE,2003,coupe; ,Bentley,Excellent,SUV,63870,Silver,user07,tregusters@ganjaflex.com,5341057929,9675 2-street,Jersey City,CA,70105,B3716300300,Art,Degroot,,,,,,93
Purchase,1/12/2019,3957.56,C1OCSTQ1VP0823459,XFR-S,2017,original equipment manufacturer (OEM) parts; drum brake; convertible; ,Jaguar,Fair,Minivan,104976,Metallic,user06,ebarfield@betasoloin.com,7269642762,2150 20-street,San Francisco,CA,69842,D7934013852,Lavonna,Good,,,,,,250
Purchase,5/31/2019,1081.52,C4QIGI5R0PE739600,OUTLANDER,2004,autotachometer; automatic torque converter; ,Mitsubishi,Excellent,Convertible,76236,Gold,user05,chellickson@donware.com,7771651721,1196 18-street,Wichita,TX,27818,B6894388117,Wynell,Swayze,,,,,,127
Purchase,1/24/2019,10194.44,CHA3G8GE21K992177,SUBURBAN 1500,2017,broad wheelbase; crankcase; ,Chevrolet,Fair,Truck,12174,Beige,user05,,1107569648,5135 21-street,Los Angeles,CA,16330,B7825808469,Glendora,Ennaco,,,,,,132
Purchase,3/1/2019,4323.66,CNXWEAHRICK569430,WRANGLER,2006,four-wheel drive; ,Jeep,Good,Coupe,62856,Blue,user02,sweight@dalttechnology.com,5857219334,5406 12-street,Santa Ana,MO,67088,,,,62-2765556,Kan-code,Truman,Miro,Senior Director L2,272
Purchase,3/16/2019,6204.52,CQCKR5VZRWO844951,COOPER,2003,no understeer; ,MINI,Very Good,Coupe,6276,Copper;Metallic;Yellow,user02,yfelger@groovestreet.com,706470748,2680 7-street,Baltimore,OK,83300,B9167611164,Mitsue,Diestel,,,,,,141
Purchase,6/15/2019,3860.53,E5WGL31NMNQ304399,ARNAGE,2002,engine displacement; ,Bentley,Good,SUV,25840,Rust;Turquoise,user22,tbachman@konex.com,7577634102,237 5-street,St. Louis,CA,43201,C4429219457,Rhea,Pontoriero,,,,,,178
Purchase,2/12/2019,1799.1,E64AFHYM7CM667399,AZURE,2010,front wheel drive; fuel injection; Automotive Service Excellence (ASE); ,Bentley,Good,Convertible,84966,Gold;Maroon,user22,,7150655947,9534 1-street,Glendale,TX,71607,C1394323936,Aliza,Meisel,,,,,,158
Purchase,4/28/2019,1702.1,E8MFMML51CM701156,PALIO,2007,all passive safety features; ,FIAT,Fair,Van,26844,Brown,user14,lcorbley@goodsilron.com,1734123340,9429 5-street,Irvine,NC,23551,,,,38-5715366,J-Texon,Louvenia,Bevelacqua,Senior Director L4,291
Purchase,1/14/2019,1628.69,EAJW0OF78HV386515,SPRINTER 3500,2002,,Freightliner,Very Good,Coupe,129480,Orange,user18,lmonarrez@doncon.com,6568801094,6786 21-street,Scottsdale,NV,80515,A1543433846,Lenna,Skulski,,,,,,10
Purchase,3/3/2019,6133.26,EBZZN84J0L1163524,RAM 2500 TRUCK,2003,Automotive Service Excellence (ASE); ,Dodge,Good,Van,19605,Aluminum,user24,mdilello@openlane.com,9342834158,5573 7-street,Bakersfield,FL,54549,D1451097081,France,Figeroa,,,,,,218
Purchase,2/14/2019,2084.82,EFUWNBMO3TM316916,ELISE,2011,automatic safety features; ,Lotus,Good,Van,158818,Copper,user18,dyglesias@silis.com,3845738997,840 4-street,Oakland,MN,18815,,,,15-6515230,Yearin,Taryn,Slayton,SalesRep L5,270
Purchase,1/25/2019,3860.53,EMARJQJLUEI221810,ARNAGE,2001,normally aspirated; ,Bentley,Very Good,Minivan,50919,Blue,user12,ljurney@konmatfix.com,6596733592,6627 16-street,Charlotte,NC,38430,A6482150674,Daniela,Mai,,,,,,44
Purchase,4/17/2019,6877.05,ENHQ8WS125F354364,TSX,2010,manual transmission; ,Acura,Good,Van,4884,White,user22,jlindall@kinnamplus.com,1267381896,2802 21-street,North Las Vegas,CA,82749,,,,12-2459515,Nam-zim,Lonny,Marrier,SalesRep M9,285
Purchase,4/11/2019,1058.52,EVDJMOIDNRC331823,FORFOUR,2005,all passive safety features; ,smart,Fair,Coupe,17826,Cream,user18,chellickson@donware.com,7771651721,1196 18-street,Wichita,TX,27818,B6894388117,Wynell,Swayze,,,,,,126
Purchase,5/5/2019,2362.93,F5BABPZQD3I737349,ASTRO,2003,Automotive Service Excellence (ASE); high torque; ,Chevrolet,Fair,Van,139336,Claret,user24,lrhoden@golddex.com,247749496,8102 19-street,Los Angeles,CA,14989,A8352857373,Felicidad,Discipio,,,,,,61
Purchase,6/22/2019,3317.1,F6TVSMY2L2Z886673,ML400,2015,great rpms; hydraulic brakes; ,Mercedes-Benz,Very Good,Convertible,57190,Purple,user18,bfrey@goodsilron.com,2216937687,9526 8-street,Anchorage,CA,9544,,,,34-9450658,Finhigh,Mollie,Nestle,Senior Manager R8,306
Purchase,1/4/2019,5239.03,FRCY3VYNL42885570,GRANSPORT,2007,superturbocharger; ,Maserati,Good,Convertible,67992,Metallic,user12,rskulski@sonron.com,4584955666,3367 4-street,Madison,TX,13950,B5930662838,Latrice,Claucherty,,,,,,108
Purchase,5/16/2019,1628.69,FWOYW8SJUH7074597,SPRINTER 3500,2003,pickup; ,Freightliner,Very Good,Convertible,58928,Maroon,user03,bgellinger@green-plus.com,4935277297,8904 1-street,Honolulu,CO,22824,C8771937989,Thaddeus,Lawler,,,,,,203
Purchase,5/29/2019,8510.23,FZ1HFZ585WR955503,AVIATOR,2004,high quality carburetor; ,Lincoln,Good,Minivan,99636,Aluminum,user10,ykonopacki@plusstrip.com,4303290648,1138 17-street,St. Petersburg,AZ,99882,B4645539147,Lili,Arias,,,,,,97
Purchase,5/18/2019,1845.32,G33VJW8N2FY389186,B2300,2001,broad wheelbase; drive shaft; high block; ,MAZDA,Good,Minivan,4738,Red,user14,ckolmetz@warephase.com,4265505072,8251 15-street,Arlington,LA,83488,,,,53-5128822,Iselectrics,Emerson,Mirafuentes,Associate Fellow M2,296
Purchase,1/5/2019,1810.03,GB5EB3AIUD0242483,760LI,2014,automatic torque converter; high block; ,BMW,Good,Coupe,42293,Rust,user02,lrhoden@golddex.com,247749496,8102 19-street,Los Angeles,CA,14989,A8352857373,Felicidad,Discipio,,,,,,57
Purchase,3/10/2019,1471.48,GBA0V3Z00JI851102,GRANTURISMO,2011,autotachometer; modern dashboard; ,Maserati,Good,Van,118476,Brown,user06,hauffrey@sunnamplex.com,3880267245,3597 2-street,Fort Worth,TX,16909,,,,34-4111553,Labdrill,Alease,Regusters,Researcher L3,275
Purchase,3/3/2019,3508.2,GC225MTL5DF831250,CAYMAN,2015,coupe; best suspension; ,Porsche,Good,Sedan,10299,Blue,user24,jfern@bioplex.com,3742674013,793 8-street,New York,NY,99051,A2840015188,Skye,Estell,,,,,,25
